Key,English,Hindi,Marathi,Arabic
FM_SA_Section,A. Upper Extremity,ए. ऊपरी अंग,अ. वरचा अवयव,أ. الطرف العلوي
FM_Q1_Title,Reflex Activity - Flexors,प्रतिवर्ती गतिविधि - फ्लेक्सर,प्रतिक्षेप क्रिया - फ्लेक्सर्स,النشاط الانعكاسي - العضلات القابضة
FM_Q1_Instruction,Assess biceps and finger flexor reflexes (at least one).,बाइसेप्स और उंगलियों के फ्लेक्सर रिफ्लेक्स की जांच करें (कम से कम एक)।,बायसेप्स आणि बोटांच्या फ्लेक्सर रिफ्लेक्सचे (किमान एक) मूल्यांकन करा.,قم بتقييم ردود فعل العضلة ذات الرأسين وردود فعل ثني الأصابع (واحد على الأقل).
FM_Q1_A0,None can be elicited,कोई जानकारी प्राप्त नहीं की जा सकती,काहीही मिळवता येत नाही,لا يمكن استخلاص أي منها
FM_Q1_A2,Can be elicited,प्राप्त किया जा सकता है,मिळवता येऊ शकते,يمكن استنباطه
FM_Q2_Title,Reflex Activity - Extensors,प्रतिवर्ती गतिविधि - एक्सटेंसर,प्रतिक्षेप क्रिया - विस्तारक,النشاط الانعكاسي - العضلات الباسطة
FM_Q2_Instruction,Assess triceps reflex.,ट्राइसेप्स रिफ्लेक्स का आकलन करें।,ट्रायसेप्स रिफ्लेक्स तपासा.,قم بتقييم رد فعل العضلة ثلاثية الرؤوس.
FM_Q2_A0,None can be elicited,कोई जानकारी प्राप्त नहीं की जा सकती,काहीही मिळवता येत नाही,لا يمكن استخلاص أي منها
FM_Q2_A2,Can be elicited,प्राप्त किया जा सकता है,मिळवता येऊ शकते,يمكن استنباطه
FM_Q3_Title,Shoulder Retraction,कंधे का पीछे हटना,खांदा मागे घेणे,إرجاع الكتف
FM_Q3_Instruction,Flexor synergy: Hand from contralateral knee to ipsilateral ear.,फ्लेक्सर सिनर्जी: विपरीत घुटने से उसी तरफ के कान तक हाथ ले जाना।,फ्लेक्सर सिनर्जी: विरुद्ध बाजूच्या गुडघ्यापासून त्याच बाजूच्या कानापर्यंत हात.,التآزر العضلي القابض: اليد من الركبة المقابلة إلى الأذن المماثلة.
FM_Q3_A0,None,कोई नहीं,काहीही नाही,لا أحد
FM_Q3_A1,Partial,आंशिक,आंशिक,جزئي
FM_Q3_A2,Full,भरा हुआ,पूर्ण,ممتلىء
FM_Q4_Title,Shoulder Elevation,कंधे की ऊँचाई,खांद्याची उंची,رفع الكتف
FM_Q4_Instruction,Flexor synergy: Hand from contralateral knee to ipsilateral ear.,फ्लेक्सर सिनर्जी: विपरीत घुटने से उसी तरफ के कान तक हाथ ले जाना।,फ्लेक्सर सिनर्जी: विरुद्ध बाजूच्या गुडघ्यापासून त्याच बाजूच्या कानापर्यंत हात.,التآزر العضلي القابض: اليد من الركبة المقابلة إلى الأذن المماثلة.
FM_Q4_A0,None,कोई नहीं,काहीही नाही,لا أحد
FM_Q4_A1,Partial,आंशिक,आंशिक,جزئي
FM_Q4_A2,Full,भरा हुआ,पूर्ण,ممتلىء
FM_Q5_Title,Shoulder Abduction (90°),कंधे का अपहरण (90°),खांद्याचे अपवर्तन (90°),تبعيد الكتف (90 درجة)
FM_Q5_Instruction,Flexor synergy: Hand from contralateral knee to ipsilateral ear.,फ्लेक्सर सिनर्जी: विपरीत घुटने से उसी तरफ के कान तक हाथ ले जाना।,फ्लेक्सर सिनर्जी: विरुद्ध बाजूच्या गुडघ्यापासून त्याच बाजूच्या कानापर्यंत हात.,التآزر العضلي القابض: اليد من الركبة المقابلة إلى الأذن المماثلة.
FM_Q5_A0,None,कोई नहीं,काहीही नाही,لا أحد
FM_Q5_A1,Partial,आंशिक,आंशिक,جزئي
FM_Q5_A2,Full,भरा हुआ,पूर्ण,ممتلىء
FM_Q6_Title,Shoulder External Rotation,कंधे का बाह्य घुमाव,खांद्याचे बाह्य रोटेशन,دوران الكتف الخارجي
FM_Q6_Instruction,Flexor synergy: Hand from contralateral knee to ipsilateral ear.,फ्लेक्सर सिनर्जी: विपरीत घुटने से उसी तरफ के कान तक हाथ ले जाना।,फ्लेक्सर सिनर्जी: विरुद्ध बाजूच्या गुडघ्यापासून त्याच बाजूच्या कानापर्यंत हात.,التآزر العضلي القابض: اليد من الركبة المقابلة إلى الأذن المماثلة.
FM_Q6_A0,None,कोई नहीं,काहीही नाही,لا أحد
FM_Q6_A1,Partial,आंशिक,आंशिक,جزئي
FM_Q6_A2,Full,भरा हुआ,पूर्ण,ممتلىء
FM_Q7_Title,Elbow Flexion,कोहनी का फ्लेक्सन,कोपर वाकवणे,ثني الكوع
FM_Q7_Instruction,Flexor synergy: Hand from contralateral knee to ipsilateral ear.,फ्लेक्सर सिनर्जी: विपरीत घुटने से उसी तरफ के कान तक हाथ ले जाना।,फ्लेक्सर सिनर्जी: विरुद्ध बाजूच्या गुडघ्यापासून त्याच बाजूच्या कानापर्यंत हात.,التآزر العضلي القابض: اليد من الركبة المقابلة إلى الأذن المماثلة.
FM_Q7_A0,None,कोई नहीं,काहीही नाही,لا أحد
FM_Q7_A1,Partial,आंशिक,आंशिक,جزئي
FM_Q7_A2,Full,भरा हुआ,पूर्ण,ممتلىء
FM_Q8_Title,Forearm Supination,अग्रबाहु सुपिनेशन,मनगटाचे सुपिनेशन,استلقاء الساعد
FM_Q8_Instruction,Flexor synergy: Hand from contralateral knee to ipsilateral ear.,फ्लेक्सर सिनर्जी: विपरीत घुटने से उसी तरफ के कान तक हाथ ले जाना।,फ्लेक्सर सिनर्जी: विरुद्ध बाजूच्या गुडघ्यापासून त्याच बाजूच्या कानापर्यंत हात.,التآزر العضلي القابض: اليد من الركبة المقابلة إلى الأذن المماثلة.
FM_Q8_A0,None,कोई नहीं,काहीही नाही,لا أحد
FM_Q8_A1,Partial,आंशिक,आंशिक,جزئي
FM_Q8_A2,Full,भरा हुआ,पूर्ण,ممتلىء
