Key,English,Arabic
T1,Rotate Your Screen,يرجى تدوير الشاشة
T2,This therapy application is designed for landscape screens. Please rotate your device to begin.,تم تصميم هذا التطبيق للشاشات العرضية (أفقي). يرجى تدوير جهازك للبدء.
T3,Tablet or Desktop Required,يلزم جهاز لوحي أو كمبيوتر
T4,This cognitive rehabilitation portal is designed for clinical use on tablet (iPad/Android Tablet) or desktop screens only. Mobile phone screens are too small to support these exercises.,تم تصميم هذه البوابة لإعادة التأهيل المعرفي للاستخدام السريري على الأجهزة اللوحية أو شاشات الكمبيوتر فقط. شاشات الهواتف صغيرة جدًا.
T11,WIZIO NEUROREHAB,ويزيو لإعادة التأهيل المعرفي
T12,Patient,المريض
T13,ID: --,المعرف: --
T14,Exercises,التمارين
T15,Progress Dashboard,لوحة المتابعة
T16,Practiced,تمت ممارسته
T17,Progress,التقدم
T18,Accuracy,الدقة
T19,Exercises Practiced,التمارين المنجزة
T20,Overall Progress,التقدم العام
T21,Average Accuracy,متوسط الدقة
T22,Reset History,إعادة تعيين السجل
T23,Toggle Sound,كتم / تشغيل الصوت
T24,Exit,خروج
T25,Exit to Unity Menu,الخروج إلى القائمة الرئيسية
T26,Return to Lobby,العودة إلى صالة التمارين
T27,Patient: {name},المريض: {name}
T28,ID: {id},المعرف: {id}
T36,Your Supportive Mind Gym,صالتك الذهنية الداعمة
T37,"Every single exercise you play helps nourish, build, and strengthen neural connections. Take your time, focus gently, and remember: consistency is your superpower!",كل تمرين تمارسه يساعد في تقوية وبناء الروابط العصبية. خذ وقتك وركز بهدوء: الاستمرارية هي قوتك الحقيقية!
T38,Max Level: L{level},أعلى مستوى: م{level}
T39,Practiced,تمت ممارسته
T40,Not Practiced,لم يمارس بعد
T51,Objective,الهدف العلاجي
T52,Therapy Difficulty Level,مستوى صعوبة التمرين
T53,START EXERCISE,ابدأ التمرين
T54,Close modal,إغلاق النافذة
T55,Decrease level,تقليل المستوى
T56,Increase level,زيادة المستوى
T57,Reset exercise history and scores?,هل تريد إعادة تعيين سجل التمارين والنتائج؟
T66,Level {level},المستوى {level}
T67,ACCURACY,الدقة
T68,TIME,الوقت
T69,CHANCES,المحاولات
T70,Exercise Title,عنوان التمرين
T71,Exercise,التمرين
T76,EXERCISE COMPLETE,اكتمل التمرين
T77,Great job! You completed this exercise level.,عمل رائع! لقد أكملت هذا المستوى بنجاح.
T78,FABULOUS WORK!,عمل رائع ومميز!
T79,Congratulations on completing Level {level}! Every exercise you do nourishes and strengthens your mind. You are doing amazing!,تهانينا على إكمال المستوى {level}! كل تمرين تقوم به يغذي ويقوي عقلك. أنت تبلي بلاءً رائعاً!
T80,GREAT TRY & PRACTICE!,محاولة رائعة وممارسة جيدة!
T81,Every minute spent practicing is a wonderful step forward for your brain. Be proud of your dedication today!,كل دقيقة تقضيها في الممارسة هي خطوة رائعة للأمام لعقلك. كن فخوراً بالتزامك اليوم!
T82,SESSION ACCURACY,دقة الجلسة
T83,PROGRESS,التقدم
T84,Level Cleared!,تم اجتياز المستوى!
T85,Practice Completed,اكتملت الممارسة
T86,LOBBY,القائمة
T87,PRACTICE AGAIN,إعادة التمرين
T88,NEXT LEVEL,المستوى التالي
T89,NEXT LEVEL ({level}),المستوى التالي ({level})
T96,Trace the Shape,تتبع المسار
T97,Motor Control,التحكم الحركي
