Key,English,Hindi,Marathi,Arabic
MB_S1_Section,ANTICIPATORY,अग्रिम,पूर्वसूचक,استباقي
MB_Q1_Title,1. Sit to Stand,1. बैठने से खड़े होने की प्रक्रिया,१. बसण्यापासून उभे राहण्यापर्यंत,1. الانتقال من وضعية الجلوس إلى الوقوف
MB_Q1_Instruction,Cross your arms across your chest. Try not to use your hands unless you must.,"अपनी बाहों को अपनी छाती पर क्रॉस करके रखें। जब तक बहुत ज़रूरी न हो, अपने हाथों का इस्तेमाल न करें।",आपले हात छातीवर दुमडून ठेवा. अत्यंत गरज असल्याशिवाय हातांचा वापर टाळा.,ضع ذراعيك متقاطعتين على صدرك. حاول ألا تستخدم يديك إلا عند الضرورة.
MB_Q1_A0,Severe - Unable to stand without assistance or several attempts.,गंभीर - बिना सहारे या कई प्रयासों के खड़े होने में असमर्थ।,गंभीर - मदतीशिवाय किंवा अनेक प्रयत्नांशिवाय उभे राहण्यास असमर्थ.,شديدة - غير قادر على الوقوف بدون مساعدة أو بعد عدة محاولات.
MB_Q1_A1,Moderate - Uses hands on first attempt.,मध्यम स्तर - पहले प्रयास में ही हाथों का उपयोग करता है।,मध्यम - पहिल्याच प्रयत्नात हातांचा वापर करतो.,متوسط ​​الصعوبة - يستخدم يديه في المحاولة الأولى.
MB_Q1_A2,Normal - Stands without hands and stabilizes.,सामान्य स्थिति - बिना हाथों के खड़ा रहता है और संतुलन बनाए रखता है।,सामान्य - हातांचा वापर न करता उभे राहून स्वतःला सावरतो.,الوضع الطبيعي - يقف دون استخدام اليدين ويحافظ على توازنه.
MB_Q2_Title,2. Rise to Toes,2. पैर की उंगलियों पर खड़े हो जाएं,२. पायाच्या बोटांवर उभे रहा,2. النهوض حتى أصابع القدم
MB_Q2_Instruction,Rise onto your toes and hold for 3 seconds.,अपने पैर की उंगलियों पर खड़े हो जाएं और 3 सेकंड तक इसी स्थिति में रहें।,पायांच्या बोटांवर उभे रहा आणि ३ सेकंद तसेच रहा.,ارفع جسمك على أطراف أصابع قدميك وثبّت الوضعية لمدة 3 ثوانٍ.
MB_Q2_A0,Less than 3 seconds.,3 सेकंड से भी कम।,तीन सेकंदांपेक्षा कमी.,أقل من 3 ثوانٍ.
MB_Q2_A1,Heels up but unstable or incomplete.,एड़ी ऊपर उठी हुई है लेकिन अस्थिर या अपूर्ण है।,टाचा वर पण अस्थिर किंवा अपूर्ण.,الكعب مرفوع ولكنه غير مستقر أو غير مكتمل.
